start_i,center_i,ms,goertzel_x1000
2084,2148.0,134.25,631.616699125917
2088,2152.0,134.5,512.0891973739004
2092,2156.0,134.75,367.0839471529755
2096,2160.0,135.0,563.8632704331526
2100,2164.0,135.25,379.9697641926734
2104,2168.0,135.5,562.1724295015188
2108,2172.0,135.75,431.8980747345564
2112,2176.0,136.0,541.0664446952583
2116,2180.0,136.25,594.3325980688272
2120,2184.0,136.5,229.11451503228048
2124,2188.0,136.75,439.93540738263516
2128,2192.0,137.0,128.15644990868086
2132,2196.0,137.25,607.2332322835279
2136,2200.0,137.5,721.5506932419471
2140,2204.0,137.75,151.15662575811393
2144,2208.0,138.0,413.09982986699697
2148,2212.0,138.25,189.04495006810603
2152,2216.0,138.5,615.4157948251298
2156,2220.0,138.75,660.5122004057007
2160,2224.0,139.0,148.48234449001237
2164,2228.0,139.25,623.9288905595977
2168,2232.0,139.5,379.62021114957037
2172,2236.0,139.75,841.7770597436368
2176,2240.0,140.0,722.7682011240662
2180,2244.0,140.25,937.0895383283214
2184,2248.0,140.5,453.8131998581965
2188,2252.0,140.75,475.6353716120287
2192,2256.0,141.0,372.07097416907436
2196,2260.0,141.25,554.278484868861
2200,2264.0,141.5,835.0195254581755
2204,2268.0,141.75,366.3055063721195
2208,2272.0,142.0,369.48503988906464
2212,2276.0,142.25,394.0912003055617
2216,2280.0,142.5,546.9101119433966
2220,2284.0,142.75,829.6073612476616
2224,2288.0,143.0,566.2325221763052
2228,2292.0,143.25,404.8704711685969
2232,2296.0,143.5,404.5288215177384
2236,2300.0,143.75,674.9726778993204
2240,2304.0,144.0,771.6873358275988
2244,2308.0,144.25,382.5281746536667
2248,2312.0,144.5,201.48757576861533
2252,2316.0,144.75,422.0711822979175
2256,2320.0,145.0,557.7470668029239
2260,2324.0,145.25,630.3156835153251
2264,2328.0,145.5,310.1132152886758
2268,2332.0,145.75,150.47540325886496
2272,2336.0,146.0,534.9174735832286
2276,2340.0,146.25,384.6238286015228
2280,2344.0,146.5,661.7303456195118
2284,2348.0,146.75,169.36376932761138
2288,2352.0,147.0,123.75587575411713
2292,2356.0,147.25,732.5395415358798
2296,2360.0,147.5,406.2044495905371
2300,2364.0,147.75,703.3981039092893
2304,2368.0,148.0,181.37318642226188
2308,2372.0,148.25,947.4361238423775
2312,2376.0,148.5,469.65699418590873
2316,2380.0,148.75,349.13047174818144
2320,2384.0,149.0,985.2066935143661
2324,2388.0,149.25,80.11115823576068
2328,2392.0,149.5,827.1517715006496
2332,2396.0,149.75,574.420744665918
2336,2400.0,150.0,426.484776371363
2340,2404.0,150.25,1087.8696435487082
2344,2408.0,150.5,79.03287769515461
2348,2412.0,150.75,773.44248650818
2352,2416.0,151.0,678.9216486510787
2356,2420.0,151.25,397.83805528774036
2360,2424.0,151.5,1092.6356020094038
2364,2428.0,151.75,43.34778791900853
2368,2432.0,152.0,815.6655303177612
2372,2436.0,152.25,579.4180094279324
2376,2440.0,152.5,395.4629447300061
2380,2444.0,152.75,1043.0815893644894
2384,2448.0,153.0,15.381821968734355
2388,2452.0,153.25,848.5886529808937
2392,2456.0,153.5,440.0978935556439
2396,2460.0,153.75,350.8790805014037
2400,2464.0,154.0,1171.5864035275115
2404,2468.0,154.25,112.52622510521887
2408,2472.0,154.5,808.6846951069896
2412,2476.0,154.75,302.11365536220245
2416,2480.0,155.0,437.156419948987
2420,2484.0,155.25,1214.1848097817735
2424,2488.0,155.5,246.01346056784317
2428,2492.0,155.75,695.5584997980486
2432,2496.0,156.0,418.7364645949524
2436,2500.0,156.25,993.632571678648
2440,2504.0,156.5,729.4217186254476
2444,2508.0,156.75,575.6464155820349
2448,2512.0,157.0,469.2905746153747
2452,2516.0,157.25,455.0199863147909
2456,2520.0,157.5,904.0367037122579
2460,2524.0,157.75,623.3043904787896
2464,2528.0,158.0,383.87049695699454
2468,2532.0,158.25,558.5163047230349
2472,2536.0,158.5,493.00261298157403
2476,2540.0,158.75,770.7040719767353
2480,2544.0,159.0,497.1040037033344
2484,2548.0,159.25,391.6211072809998
2488,2552.0,159.5,587.6832650929726
2492,2556.0,159.75,366.7148582754144
2496,2560.0,160.0,776.0173656783642
2500,2564.0,160.25,357.1153215217524
2504,2568.0,160.5,426.8810095933467
2508,2572.0,160.75,594.7773635338524
2512,2576.0,161.0,344.27830210154355
2516,2580.0,161.25,940.6366369454478
2520,2584.0,161.5,381.4681656356141
2524,2588.0,161.75,271.330316722754
2528,2592.0,162.0,742.2582242901173
2532,2596.0,162.25,435.02695792289285
2536,2600.0,162.5,900.1372031765542
2540,2604.0,162.75,180.11134050219013
2544,2608.0,163.0,219.8108898427986
2548,2612.0,163.25,746.6652774368248
2552,2616.0,163.5,414.5190604273611
2556,2620.0,163.75,778.6055579966066
2560,2624.0,164.0,161.48959912041576
2564,2628.0,164.25,621.1559047724078
2568,2632.0,164.5,229.0952190324586
2572,2636.0,164.75,811.1623159470657
2576,2640.0,165.0,187.58878000735052
2580,2644.0,165.25,256.0745868370815
2584,2648.0,165.5,743.2463157341649
2588,2652.0,165.75,206.71513078940623
2592,2656.0,166.0,521.4800052149044
2596,2660.0,166.25,102.76988598814876
2600,2664.0,166.5,305.99776742848877
2604,2668.0,166.75,707.0638696910685
2608,2672.0,167.0,118.09155368857277
2612,2676.0,167.25,582.3353735155677
2616,2680.0,167.5,96.3089546903784
2620,2684.0,167.75,192.36336128879032
2624,2688.0,168.0,725.7516783684537
